Primary_Key,School_Name,Unnamed: 2,Unnamed: 3,School_Year,YoY_State,State,YoY_Region_04,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YOY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
ARISTOI_Classical_Grade 3 Reading,ARISTOI_Classical,Grade 3 Reading,At Approaches Grade Level or Above,2021,-0.09,67%,-8%,68%,-12%,82%,-21%,73%,-15%,80%,-9%,84%,-23%,73%,#VALUE!,60%
ARISTOI_Classical_Grade 3 Reading,ARISTOI_Classical,Grade 3 Reading,At Approaches Grade Level or Above,2019,na,76%,na,76%,na,94%,na,94%,na,95%,na,93%,na,96%,na,*
ARISTOI_Classical_Grade 3 Reading,ARISTOI_Classical,Grade 3 Reading,At Meets Grade Level or Above,2021,-0.06,39%,-7%,39%,0%,55%,20%,73%,-2%,48%,-1%,55%,-25%,18%,#VALUE!,20%
ARISTOI_Classical_Grade 3 Reading,ARISTOI_Classical,Grade 3 Reading,At Meets Grade Level or Above,2019,na,45%,na,46%,na,55%,na,53%,na,50%,na,56%,na,43%,na,*
ARISTOI_Classical_Grade 3 Reading,ARISTOI_Classical,Grade 3 Reading,At Masters Grade Level,2021,-0.08,19%,-8%,20%,-3%,32%,21%,45%,9%,32%,-10%,32%,-26%,9%,#VALUE!,20%
ARISTOI_Classical_Grade 3 Reading,ARISTOI_Classical,Grade 3 Reading,At Masters Grade Level,2019,na,27%,na,28%,na,35%,na,24%,na,23%,na,42%,na,35%,na,*
ARISTOI_Classical_Grade 3 Mathematics,ARISTOI_Classical,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,-0.17,62%,-17%,62%,-13%,71%,-30%,64%,-9%,68%,-14%,68%,-46%,45%,#VALUE!,40%
ARISTOI_Classical_Grade 3 Mathematics,ARISTOI_Classical,Grade 3 Mathematics,At Approaches Grade Level or Above,2019,na,79%,na,79%,na,84%,na,94%,na,77%,na,82%,na,91%,na,*
ARISTOI_Classical_Grade 3 Mathematics,ARISTOI_Classical,Grade 3 Mathematics,At Meets Grade Level or Above,2021,-0.18,31%,-18%,31%,0%,43%,-2%,45%,10%,28%,-4%,47%,-25%,14%,#VALUE!,20%
ARISTOI_Classical_Grade 3 Mathematics,ARISTOI_Classical,Grade 3 Mathematics,At Meets Grade Level or Above,2019,na,49%,na,49%,na,43%,na,47%,na,18%,na,51%,na,39%,na,*
ARISTOI_Classical_Grade 3 Mathematics,ARISTOI_Classical,Grade 3 Mathematics,At Masters Grade Level,2021,-0.11,14%,-10%,15%,-5%,15%,-3%,9%,3%,12%,-13%,11%,-13%,0%,#VALUE!,0%
ARISTOI_Classical_Grade 3 Mathematics,ARISTOI_Classical,Grade 3 Mathematics,At Masters Grade Level,2019,na,25%,na,25%,na,20%,na,12%,na,9%,na,24%,na,13%,na,*
ARISTOI_Classical_Grade 4 Reading,ARISTOI_Classical,Grade 4 Reading,At Approaches Grade Level or Above,2021,-0.12,63%,-12%,63%,-19%,74%,-31%,60%,-26%,70%,-16%,76%,-22%,68%,#VALUE!,*
ARISTOI_Classical_Grade 4 Reading,ARISTOI_Classical,Grade 4 Reading,At Approaches Grade Level or Above,2019,na,75%,na,75%,na,93%,na,91%,na,96%,na,92%,na,90%,na,*
ARISTOI_Classical_Grade 4 Reading,ARISTOI_Classical,Grade 4 Reading,At Meets Grade Level or Above,2021,-0.08,36%,-8%,37%,-10%,47%,-43%,30%,-24%,30%,2%,56%,-13%,32%,#VALUE!,*
ARISTOI_Classical_Grade 4 Reading,ARISTOI_Classical,Grade 4 Reading,At Meets Grade Level or Above,2019,na,44%,na,45%,na,57%,na,73%,na,54%,na,54%,na,45%,na,*
ARISTOI_Classical_Grade 4 Reading,ARISTOI_Classical,Grade 4 Reading,At Masters Grade Level,2021,-0.05,17%,-5%,18%,-10%,24%,-35%,10%,-14%,25%,-5%,25%,7%,21%,#VALUE!,*
ARISTOI_Classical_Grade 4 Reading,ARISTOI_Classical,Grade 4 Reading,At Masters Grade Level,2019,na,22%,na,23%,na,34%,na,45%,na,39%,na,30%,na,14%,na,*
ARISTOI_Classical_Grade 4 Mathematics,ARISTOI_Classical,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,-0.16,59%,-16%,60%,2%,79%,-13%,60%,-2%,73%,6%,84%,9%,75%,#VALUE!,*
ARISTOI_Classical_Grade 4 Mathematics,ARISTOI_Classical,Grade 4 Mathematics,At Approaches Grade Level or Above,2019,na,75%,na,76%,na,77%,na,73%,na,75%,na,78%,na,66%,na,*
ARISTOI_Classical_Grade 4 Mathematics,ARISTOI_Classical,Grade 4 Mathematics,At Meets Grade Level or Above,2021,-0.12,36%,-12%,37%,5%,54%,-15%,40%,-14%,36%,21%,62%,-5%,40%,#VALUE!,*
ARISTOI_Classical_Grade 4 Mathematics,ARISTOI_Classical,Grade 4 Mathematics,At Meets Grade Level or Above,2019,na,48%,na,49%,na,49%,na,55%,na,50%,na,41%,na,45%,na,*
ARISTOI_Classical_Grade 4 Mathematics,ARISTOI_Classical,Grade 4 Mathematics,At Masters Grade Level,2021,-0.07,21%,-8%,22%,13%,36%,22%,40%,2%,23%,16%,38%,9%,30%,#VALUE!,*
ARISTOI_Classical_Grade 4 Mathematics,ARISTOI_Classical,Grade 4 Mathematics,At Masters Grade Level,2019,na,28%,na,30%,na,23%,na,18%,na,21%,na,22%,na,21%,na,*
ARISTOI_Classical_Grade 5 Reading+,ARISTOI_Classical,Grade 5 Reading+,At Approaches Grade Level or Above,2021,-0.13,73%,-13%,73%,4%,93%,-7%,93%,10%,100%,3%,90%,26%,93%,#VALUE!,*
ARISTOI_Classical_Grade 5 Reading+,ARISTOI_Classical,Grade 5 Reading+,At Approaches Grade Level or Above,2019,na,86%,na,86%,na,89%,na,100%,na,90%,na,87%,na,67%,na,100%
ARISTOI_Classical_Grade 5 Reading+,ARISTOI_Classical,Grade 5 Reading+,At Meets Grade Level or Above,2021,-0.08,46%,-7%,47%,14%,74%,-8%,67%,28%,68%,11%,77%,45%,67%,#VALUE!,*
ARISTOI_Classical_Grade 5 Reading+,ARISTOI_Classical,Grade 5 Reading+,At Meets Grade Level or Above,2019,na,54%,na,54%,na,60%,na,75%,na,40%,na,66%,na,22%,na,20%
ARISTOI_Classical_Grade 5 Reading+,ARISTOI_Classical,Grade 5 Reading+,At Masters Grade Level,2021,0.01,30%,1%,31%,26%,55%,28%,53%,26%,41%,24%,60%,41%,47%,#VALUE!,*
ARISTOI_Classical_Grade 5 Reading+,ARISTOI_Classical,Grade 5 Reading+,At Masters Grade Level,2019,na,29%,na,30%,na,29%,na,25%,na,15%,na,36%,na,6%,na,0%
ARISTOI_Classical_Grade 5 Mathematics+,ARISTOI_Classical,Grade 5 Mathematics+,At Approaches Grade Level or Above,2021,-0.2,70%,-19%,70%,1%,87%,-13%,87%,11%,86%,1%,88%,26%,93%,#VALUE!,*
ARISTOI_Classical_Grade 5 Mathematics+,ARISTOI_Classical,Grade 5 Mathematics+,At Approaches Grade Level or Above,2019,na,90%,na,89%,na,86%,na,100%,na,75%,na,87%,na,67%,na,80%
ARISTOI_Classical_Grade 5 Mathematics+,ARISTOI_Classical,Grade 5 Mathematics+,At Meets Grade Level or Above,2021,-0.14,44%,-14%,45%,21%,59%,15%,53%,25%,45%,23%,65%,50%,67%,#VALUE!,*
ARISTOI_Classical_Grade 5 Mathematics+,ARISTOI_Classical,Grade 5 Mathematics+,At Meets Grade Level or Above,2019,na,58%,na,59%,na,38%,na,38%,na,20%,na,42%,na,17%,na,40%
ARISTOI_Classical_Grade 5 Mathematics+,ARISTOI_Classical,Grade 5 Mathematics+,At Masters Grade Level,2021,-0.11,25%,-12%,26%,11%,37%,2%,27%,8%,23%,16%,46%,2%,13%,#VALUE!,*
ARISTOI_Classical_Grade 5 Mathematics+,ARISTOI_Classical,Grade 5 Mathematics+,At Masters Grade Level,2019,na,36%,na,38%,na,26%,na,25%,na,15%,na,30%,na,11%,na,20%
ARISTOI_Classical_Grade 5 Science,ARISTOI_Classical,Grade 5 Science,At Approaches Grade Level or Above,2021,-0.13,62%,-13%,62%,4%,77%,-10%,53%,4%,64%,10%,89%,32%,79%,#VALUE!,*
